Speaker Label,Gender,Word,Vowel,Class ID,F1,F2,F3
alw001,F,head,EH1,1,830,2300,3100
alw001,F,had,AE D,2,1150,2125,3038
alw001,F,hard,AA,3,895,1559,3132
jah001,F,head,EH1,1,890,2335,3231
jah001,F,had,AE D,2,998,1955,3092
jah001,F,hard,AA,3,870,1535,3106
jep001,F,head,EH1,1,869,2393,3050
jep001,F,had,AE D,2,1076,2034,3004
jep001,F,hard,AA,3,1007,1663,2982
knb001,F,head,EH1,1,824,2238,3065
knb001,F,had,AE D,2,997,2045,3126
knb001,F,hard,AA,3,840,1614,3009
lcg001,F,head,EH1,1,729,2406,3051
lcg001,F,had,AE D,2,830,1882,2799
lcg001,F,hard,AA,3,828,1413,2830
ajh001,M,head,EH1,1,640,2076,2878
ajh001,M,had,AE D,2,931,1891,2932
ajh001,M,hard,AA,3,830,1472,3058
apd001,M,head,EH1,1,512,1955,2590
apd001,M,had,AE D,2,719,1532,2634
apd001,M,hard,AA,3,715,1207,2815
ars001,M,head,EH1,1,562,1785,2567
ars001,M,had,AE D,2,682,1659,2597
ars001,M,hard,AA,3,646,1086,2714
ikp001,M,head,EH1,1,650,2091,2766
ikp001,M,had,AE D,2,848,1652,2709
ikp001,M,hard,AA,3,759,1021,2838
ixj001,M,head,EH1,1,671,2059,2757
ixj001,M,had,AE D,2,914,1709,2771
ixj001,M,hard,AA,3,748,1252,2848
cxc001,F,head,EH1,1,755,2181,2769
cxc001,F,had,AE D,2,944,1628,2333
cxc001,F,hard,AA,3,702,1374,1938
ejr001,F,head,EH1,1,654,2288,2935
ejr001,F,had,AE D,2,1028,1819,2807
ejr001,F,hard,AA,3,872,1616,2780
jrs001,F,head,EH1,1,736,2278,2968
jrs001,F,had,AE D,2,1068,1738,3037
jrs001,F,hard,AA,3,988,1673,2864
lms002,F,head,EH1,1,868,2299,2922
lms002,F,had,AE D,2,1137,1911,2989
lms002,F,hard,AA,3,844,1460,2674
sar001,F,head,EH1,1,773,2193,3033
sar001,F,had,AE D,2,1035,1792,2954
sar001,F,hard,AA,3,911,1856,2779
bxp001,M,head,EH1,1,575,2056,2639
bxp001,M,had,AE D,2,833,1715,2757
bxp001,M,hard,AA,3,803,1344,2580
cxg001,M,head,EH1,1,655,1906,2599
cxg001,M,had,AE D,2,878,1484,2450
cxg001,M,hard,AA,3,716,880,2275
ejd001,M,head,EH1,1,447,1984,2793
ejd001,M,had,AE D,2,759,1743,2639
ejd001,M,hard,AA,3,742,1218,2446
gmc001,M,head,EH1,1,638,1706,2590
gmc001,M,had,AE D,2,952,1484,2704
gmc001,M,hard,AA,3,832,1312,2648
sxc001,M,head,EH1,1,556,1923,2726
sxc001,M,had,AE D,2,894,1506,2296
sxc001,M,hard,AA,3,885,1903,2631
ald001,F,head,EH1,1,716,2252,2954
ald001,F,had,AE D,2,967,1793,2652
ald001,F,hard,AA,3,820,1210,2707
cxb002,F,head,EH1,1,711,2318,3059
cxb002,F,had,AE D,2,1063,1947,2687
cxb002,F,hard,AA,3,931,1340,2690
dab001,F,head,EH1,1,591,2232,2821
dab001,F,had,AE D,2,900,1819,2594
dab001,F,hard,AA,3,822,1270,2593
hjl001,F,head,EH1,1,687,2502,3303
hjl001,F,had,AE D,2,1028,1893,2931
hjl001,F,hard,AA,3,861,1362,3182
jkb001,F,head,EH1,1,547,2289,2956
jkb001,F,had,AE D,2,728,1814,2973
jkb001,F,hard,AA,3,691,1168,2728
baj001,M,head,EH1,1,624,2074,2825
baj001,M,had,AE D,2,795,1782,2555
baj001,M,hard,AA,3,797,1459,2730
htl001,M,head,EH1,1,536,1897,2550
htl001,M,had,AE D,2,821,1643,2483
htl001,M,hard,AA,3,759,1097,2526
ifp001,M,head,EH1,1,482,1996,2735
ifp001,M,had,AE D,2,729,1720,2580
