Speaker Label,Gender,Word,Vowel,Class ID,F1,F2,F3
alw001,F,head,EH1,1,830,2300,3100
alw001,F,had,AE D,2,1150,2125,3038
alw001,F,hard,AA,3,895,1559,3132
jah001,F,head,EH1,1,890,2335,3231
jah001,F,had,AE D,2,998,1955,3092
jah001,F,hard,AA,3,870,1535,3106
jep001,F,head,EH1,1,869,2393,3050
jep001,F,had,AE D,2,1076,2034,3004
jep001,F,hard,AA,3,1007,1663,2982
knb001,F,head,EH1,1,824,2238,3065
knb001,F,had,AE D,2,997,2045,3126
knb001,F,hard,AA,3,840,1614,3009
lcg001,F,head,EH1,1,729,2406,3051
lcg001,F,had,AE D,2,830,1882,2799
lcg001,F,hard,AA,3,828,1413,2830
cxc001,F,head,EH1,1,755,2181,2769
cxc001,F,had,AE D,2,944,1628,2333
cxc001,F,hard,AA,3,702,1374,1938
ejr001,F,head,EH1,1,654,2288,2935
ejr001,F,had,AE D,2,1028,1819,2807
ejr001,F,hard,AA,3,872,1616,2780
jrs001,F,head,EH1,1,736,2278,2968
jrs001,F,had,AE D,2,1068,1738,3037
jrs001,F,hard,AA,3,988,1673,2864
lms002,F,head,EH1,1,868,2299,2922
lms002,F,had,AE D,2,1137,1911,2989
lms002,F,hard,AA,3,844,1460,2674
sar001,F,head,EH1,1,773,2193,3033
sar001,F,had,AE D,2,1035,1792,2954
sar001,F,hard,AA,3,911,1856,2779
ald001,F,head,EH1,1,716,2252,2954
ald001,F,had,AE D,2,967,1793,2652
ald001,F,hard,AA,3,820,1210,2707
cxb002,F,head,EH1,1,711,2318,3059
cxb002,F,had,AE D,2,1063,1947,2687
cxb002,F,hard,AA,3,931,1340,2690
dab001,F,head,EH1,1,591,2232,2821
dab001,F,had,AE D,2,900,1819,2594
dab001,F,hard,AA,3,822,1270,2593
hjl001,F,head,EH1,1,687,2502,3303
hjl001,F,had,AE D,2,1028,1893,2931
hjl001,F,hard,AA,3,861,1362,3182
jkb001,F,head,EH1,1,547,2289,2956
jkb001,F,had,AE D,2,728,1814,2973
jkb001,F,hard,AA,3,691,1168,2728
edc001,F,head,EH1,1,799,2247,3003
edc001,F,had,AE D,2,1091,1794,2815
edc001,F,hard,AA,3,995,1610,2827
hxc001,F,head,EH1,1,842,2176,2609
hxc001,F,had,AE D,2,1031,1753,2797
hxc001,F,hard,AA,3,1018,1493,2988
sjf001,F,head,EH1,1,759,1986,2993
sjf001,F,had,AE D,2,1000,1664,2813
sjf001,F,hard,AA,3,940,1603,2815
sxc002,F,head,EH1,1,770,2110,2990
sxc002,F,had,AE D,2,940,1624,2846
sxc002,F,hard,AA,3,933,1412,2769
wxr003,F,head,EH1,1,738,2269,3140
wxr003,F,had,AE D,2,1025,1900,2915
wxr003,F,hard,AA,3,922,1847,2829
jec001,F,head,EH1,1,552,2555,3169
jec001,F,had,AE D,2,869,1730,2708
jec001,F,hard,AA,3,872,1524,2654
joh001,F,head,EH1,1,571,2378,3014
joh001,F,had,AE D,2,841,1593,1754
joh001,F,hard,AA,3,915,1442,2727
kam001,F,head,EH1,1,542,2416,3036
kam001,F,had,AE D,2,832,1787,2794
kam001,F,hard,AA,3,713,1605,2306
lna001,F,head,EH1,1,478,2551,3076
lna001,F,had,AE D,2,968,1702,2755
lna001,F,hard,AA,3,828,1508,2681
lxd001,F,head,EH1,1,587,2433,3166
lxd001,F,had,AE D,2,809,1602,2778
lxd001,F,hard,AA,3,806,1555,2375
