Speaker Label,Gender,Word,Vowel,Class ID,F1,F2,F3
ajh001,M,head,EH1,1,640,2076,2878
ajh001,M,had,AE D,2,931,1891,2932
ajh001,M,hard,AA,3,830,1472,3058
apd001,M,head,EH1,1,512,1955,2590
apd001,M,had,AE D,2,719,1532,2634
apd001,M,hard,AA,3,715,1207,2815
ars001,M,head,EH1,1,562,1785,2567
ars001,M,had,AE D,2,682,1659,2597
ars001,M,hard,AA,3,646,1086,2714
ikp001,M,head,EH1,1,650,2091,2766
ikp001,M,had,AE D,2,848,1652,2709
ikp001,M,hard,AA,3,759,1021,2838
ixj001,M,head,EH1,1,671,2059,2757
ixj001,M,had,AE D,2,914,1709,2771
ixj001,M,hard,AA,3,748,1252,2848
bxp001,M,head,EH1,1,575,2056,2639
bxp001,M,had,AE D,2,833,1715,2757
bxp001,M,hard,AA,3,803,1344,2580
cxg001,M,head,EH1,1,655,1906,2599
cxg001,M,had,AE D,2,878,1484,2450
cxg001,M,hard,AA,3,716,880,2275
ejd001,M,head,EH1,1,447,1984,2793
ejd001,M,had,AE D,2,759,1743,2639
ejd001,M,hard,AA,3,742,1218,2446
gmc001,M,head,EH1,1,638,1706,2590
gmc001,M,had,AE D,2,952,1484,2704
gmc001,M,hard,AA,3,832,1312,2648
sxc001,M,head,EH1,1,556,1923,2726
sxc001,M,had,AE D,2,894,1506,2296
sxc001,M,hard,AA,3,885,1903,2631
baj001,M,head,EH1,1,624,2074,2825
baj001,M,had,AE D,2,795,1782,2555
baj001,M,hard,AA,3,797,1459,2730
htl001,M,head,EH1,1,536,1897,2550
htl001,M,had,AE D,2,821,1643,2483
htl001,M,hard,AA,3,759,1097,2526
ifp001,M,head,EH1,1,482,1996,2735
ifp001,M,had,AE D,2,729,1720,2580
ifp001,M,hard,AA,3,829,1350,2618
kxk001,M,head,EH1,1,571,1838,2714
kxk001,M,had,AE D,2,779,1519,2509
kxk001,M,hard,AA,3,720,1066,2650
mjc002,M,head,EH1,1,519,2120,2592
mjc002,M,had,AE D,2,744,1714,2459
mjc002,M,hard,AA,3,661,1066,2450
axc001,M,head,EH1,1,646,1839,2759
axc001,M,had,AE D,2,933,1555,2531
axc001,M,hard,AA,3,780,1253,2553
ccw001,M,head,EH1,1,622,2075,2846
ccw001,M,had,AE D,2,745,1490,2752
ccw001,M,hard,AA,3,702,1289,2913
dps001,M,head,EH1,1,664,1864,2412
dps001,M,had,AE D,2,927,1770,2260
dps001,M,hard,AA,3,780,1424,2209
jlf001,M,head,EH1,1,611,1712,2442
jlf001,M,had,AE D,2,762,1389,2566
jlf001,M,hard,AA,3,749,1470,2653
jmd001,M,head,EH1,1,576,1882,2568
jmd001,M,had,AE D,2,781,1374,2161
jmd001,M,hard,AA,3,862,1365,2167
gty001,M,head,EH1,1,502,1979,2576
gty001,M,had,AE D,2,688,1422,2744
gty001,M,hard,AA,3,744,1049,2968
iwd001,M,head,EH1,1,578,2100,2769
iwd001,M,had,AE D,2,864,1508,2795
iwd001,M,hard,AA,3,881,1245,2485
rac001,M,head,EH1,1,591,2166,2920
rac001,M,had,AE D,2,808,1440,2607
rac001,M,hard,AA,3,812,1170,2837
sgd001,M,head,EH1,1,513,2247,2727
sgd001,M,had,AE D,2,815,1476,2964
sgd001,M,hard,AA,3,820,1332,3059
sxm001,M,head,EH1,1,745,1974,2580
sxm001,M,had,AE D,2,866,1466,2450
sxm001,M,hard,AA,3,990,1668,2520
